vocabulary,definition,short,chinese,long
singular,"1. being a single and separate person or thing
2. composed of one member, set, or kind
3. the single one of its kind
4. unusual or striking
5. beyond or deviating from the usual or expected
6. grammatical number category referring to a single item or unit
7. the form of a word that is used to denote a singleton","If something is extraordinary, remarkable, or one of a kind, you can say it issingular. Asingularopportunity to sing onstage with a rock star is a remarkable opportunity.",独一无二的（褒义）= one of its kind = excellent,"Seeing thesingleinsidesingularcan help you understand its meaning in the sense of one. In grammar,singularmeans one, as opposed to plural, which means more than one. Butsingular’snot always––or singularly––about being unique. Walking through a foggy cemetery might give you a singular feeling––or a feeling that’s odd and peculiar––that ghosts could possibly be real."
epilogue,"1. a short speech (often in verse) addressed directly to the audience by an actor at the end of a play
2. a short passage added at the end of a literary work","If you like to read the end of a book first, then maybe theepilogueis for you. Theepilogueis a short piece that wraps up the end of a story.",收场白，小说的尾声,"The nounepiloguecan also refer to the short speech at the end of a play that one of the characters speaks directly to the audience. In Shakespeare's playThe Tempest, the epilogue is a 20-line monologue spoken by Prospero.Epiloguecomes from the Greek wordepilogusmeaning the conclusion of a speech."
imminent,1. close in time; about to occur,"Something that isimminentis just about to happen: if you light a firecracker and then stick it down your pants, a very bad situation isimminent.",即将到来的,"Imminentis from Latinimminere""to overhang,"" and to say that something is imminent is to say that it is hanging over you and about to fall, in a metaphorical way. If you take your momâs car and drive it into the mailbox, getting grounded is imminent. You donât want that hanging over your head!"
prescient,1. perceiving the significance of events before they occur,"To be prescient is to have foresight or foreknowledge. We can use this word to describe people themselves, or what they say or do at a given moment.",指人（评论员，分析师，专家）及他们说的话：有先见之明的,"You probably know that the Latin prefix pre-means ""before,"" so you might be able to figure out that the word prescient, from the verb praescire, means to ""know beforehand."" People like economists, sports commentators, and political analysts often get tagged with this word, because it's part of their job to sift through the data and make predictions â and sometimes they get it right. And when they're not just lucky, we might say they're prescient."
apathetic,"1. showing little or no emotion or animation
2. marked by a lack of interest","Apatheticis an adjective that describes the feeling of being bored with what’s going on around you.  If you don’t care one way or another, you’reapathetic.",没有兴趣的,"The Greek word pathos describes a type of emotional suffering that afflicts people who are super sensitive to their environment. Pathos is a root word of apathetic, but the prefix a- turns it into the opposite: emotional boredom, insensitivity, and a lack of enthusiasm.  Maybe you feel apathetic because nothing around you stirs your interest, or maybe it’s because you need some coffee."
didactic,1. instructive (especially excessively),"When people aredidactic, they're teaching or instructing. This word is often used negatively for when someone is acting too much like a teacher.",(以道德教导为目的)说教的；像教师一样的patronizing别人的,"When you're didactic, you're trying to teach something. Just about everything teachers do is didactic: the same is true of coaches and mentors.Didacticis often used in a negative way. If you heard that a movie is overly didactic, that's probably not good. Most people want to see a story and be entertained when going to the movies, and if it feels like the movie is just telling you what to think, that's didactic in a bad way."
lopsided,"1. having one side lower or smaller or lighter than the other
2. turned or twisted toward one side","Something that'slopsidedis crooked or off-balance, like your grandma'slopsidedhat, which sits askew on her head.",不平衡的，不公平的,"You can use the adjectivelopsidedto describe things that are crooked or asymmetrical. A bad toothache might cause one side of your jaw to swell, leaving your face feeling â and looking â lopsided. Your might say that your school's student council election is lopsided if one candidate is clearly more qualified than the other. The wordlopsidedwas originallylapsided, and in the early 1700s it almost always referred to a tilting ship."
repertoire,"1. the entire range of skills or aptitudes or devices used in a particular field or occupation
2. a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule",Repertoirerefers to the full supply of what you can do. A singer'srepertoireis all the songs he can sing. A chef'srepertoireis what she knows how to cook.,全部曲目,"Repertoirewas borrowed from FrenchrĂŠpertoire,from Late Latinrepertorium""an inventory."" The Late Latin word is also the source of Englishrepertory, a group of actors that perform many plays, each performed for a short time. The second ""r"" in bothrepertoireandrepertoryis often not pronounced."
tease apart,,,梳理,
negotiate,"1. discuss the terms of an arrangement
2. succeed in passing through, around, or over",Tonegotiateis to try to work out an agreement between parties that each want something out of the deal. You mightnegotiatewith your mom — offering to do more chores for a raise in your allowance. Good luck.,"2. 成功越过 If you negotiate an area of land, a place, or an obstacle, you successfully travel","Negotiation is all about give and take. Governments are always negotiating with unions, trying to define the terms of new contracts. The government might offer the teachers union a raise, if they agree to work 200 days a year instead of 180. The verbnegotiatecan also mean to successfully pass through or travel along. You may have to negotiate a hazardous road, or a tricky path through sticker bushes."
brook,"1. a natural stream of water smaller than a river (and often a tributary of a river)
2. put up with something or somebody unpleasant","Abrookis a small stream. On a hot day, you might enjoy wading in a babblingbrook.As a verb,brookis a rather stuffy word for ""put up with."" The lord of the manor might say, ""I willbrookno trespassing on my land.""",古英语：容忍，忍受,"Brookis tailor-made for talking about what you won't stand forâit's always ""brookno..."" If you brook no criticism of your friend, it means you won't let people speak ill of her. If you brook no brooks, it means you've developed a bizarre stream-hating fetish and will spend the rest of your days trying to stop their flow."
beneficence,"1. the quality of being kind or helpful or generous
2. doing good; feeling beneficent","If you show someone kindness or generosity, that'sbeneficencelike when you shovel a neighbor's sidewalk or mowing the lawn just to help out, no strings attached.","热于助人的品质 =kindness=generosity","Beneficence comes from the Latin word benefactum, meaning ""good deed."" That's exactly what beneficence is â helping someone just because you care, not because you want to be praised for being nice. Giving your time, skills, or even a donation of money or items shows beneficence. This word can also describe the character of a person who is helpful, caring, and compassionate."
regurgitate,"1. pour or rush back
2. eject the contents of the stomach through the mouth
3. feed through the beak by regurgitating previously swallowed food
4. repeat after memorization","Toregurgitateis to bring already swallowed food back up through one's throat and out the mouth. Not so nice in humans, but much more understandable (if still gross) in birds — who feed their baby chicks byregurgitating.",复习之前背过的材料,"Finished cramming for your exam? Ready to do a data dump? Then you're about to regurgitate all you've learned — repeat information verbatim without any real understanding or analysis of it. Don't worry, everyone does it, from high school and college students, to grown-ups in corporate boardrooms."
sanguine,1. feeling sanguine; optimistically cheerful and confident,,乐观态度,
irascible,1. a feeling of resentful anger,"If you're irascible, you get angry easily — perhaps blowing up in rage when someone brushes into you.
",易怒而大打出手的（通常带有侵略性的行为）,"Irascible comes from the Latin root ira, which means ""anger"" or ""rage,"" the same root that gives us the word ire, ""anger."" The -sc in the middle of irascible, means ""becoming,"" so irascible doesn't just mean you're angry — it's got action built into it. If you're looking for a fight most of the time, then you're irascible — ready for the spark that's going to set you on fire."
convivial,"1. a jovial nature
2. a boisterous celebration; a merry festivity","Use the adjective convivial to describe your friend who is ""the life of the party.""
",特指与人在一起而感到欢快的,"The Latin word convivium means ""a feast,"" and when convivial was first coined in the 1660s, its meaning related to the excess of food and drink during such celebrations. You can also see convivial in convivere, meaning ""to carouse together."" Just when it seemed all convivial could ever do was describe people who overindulge, a new shade of meaning emerged: loving to be around people. After all, a big part of feasting is being with people you care about."
downplay,"1. understate the importance or quality of
2. represent as less significant or important","Todownplaysomething is to act as if it's not very important. If you're trying to convince your friends to play poker with you, you mightdownplaythe fact that you're an experienced and competitive player.",某人出于某个目的而故意表现出低估／看低的态度,"Politicians who depend on contributions from oil and gas companies tend to downplay the environmental effects of their products, and a boy who wants a trampoline for his birthday might downplay the possible dangers when he talks to his parents about it.Downplayis a relatively recent addition to the English language, dating from the late 1960s."
inconsequential,"1. lacking worth or importance
2. not following logically as a consequence","If something is considered of little worth or importance, it isinconsequential.If astronomers forecast a tremendous meteor shower, it might turn out to be no more than space junk, tooinconsequentialto record.",不重要的，无严重后果的,"You can use the adjectiveinconsequentialto describe things that just donât matter or are of no relevance, as in ""the rainy forecast is totallyinconsequentialâ the bowling tournament is inside!"" It also describes things that don't make sense in a certain order, ""trying to win their votes isinconsequential: the election's over."" Something small or minor can be inconsequential too, though the red bump on your nose on picture-day may not seem as inconsequential to you as it does to the photographer."
incinerator,1. a furnace for incinerating (especially to dispose of refuse),,焚化炉,
emulate,"1. strive to equal or match, especially by imitating
2. compete with successfully; approach or reach equality with
3. imitate the function of (another system), as by modifying the hardware or the software","When youemulatesomeone, you imitate them, especially with the idea of matching their success.",通过模仿手段来超越他人,"When someone is impressive because of their great skills, brains, strength, or accomplishments, others will emulate them. To emulate is to imitate and model yourself after someone. People emulate role models â people they want to be like. After Michael Jordan retired from the NBA, player after player tried to emulate Jordan's game and success. It's hard to be as good as someone like that, but having a hero to emulate can be helpful in many areas of life."
censure,"1. harsh criticism or disapproval
2. the state of being excommunicated
3. rebuke formally","Censureis a noun referring to very strong criticism; the verb means to criticize very strongly. If you take your dad's car without telling him, you can expect him tocensureyou severely, and maybe even ground you as well.",猛烈地抨击,"The noun and verb are most closely associated with official expressions of disapproval, as when Congresscensuresa senator. The noun is from Latincēnsūra""censorship,"" fromcēnsor""an ancient Roman censor."" The job of a Romancensorwas to take the census and to supervise public morals and behavior. Our English wordcensor––which means to suppress speech or other forms of expression––is from this Latin word."
demanding,1. requiring more than usually expected or thought due; especially great patience and effort and skill,"Something that'sdemandingcalls for more work or skill than the typical task. Babysitting might seem like an easy job, but depending on the kids it can actually be incrediblydemanding.",工作或任务：费时费力的,"A demanding job might require a lot of physical work, like farming, or a lot of patience and diplomacy, like being a teacher or a marriage counselor. When a person is described asdemanding, it usually means that he or she has very high standards or is especially hard to satisfy. The word comes from the Old Frenchdemander, ""to request or demand,"" by way of the Latindemandare, ""entrust."""
sift from,,,筛选,
overshadow,"1. cast a shadow upon
2. be greater in significance than
3. make appear small by comparison",,(指负面情感)给...蒙上一层阴影,
zealot,1. a fervent and even militant proponent of something,"The hamburgerzealotwas so fanatical about his burgers that he camped outside his favorite fast-food joint for hours every morning, waiting for it to open. And he would never put mustard on them, only ketchup.",宗教／明星／球队／爱好：狂热分子,"The originalzealotswere a group of first-century Jews who were absolutely determined to overthrow Roman rule in Palestine. Today, anyone who is goes overboard in theirzeal, or enthusiasm, for a particular cause, a religion, a sports team, or a charitable organization â can be called azealot. The coffee lover was a zealot regarding where his coffee was grown, who grew it, and how it was roasted."
maze,"1. complex system of paths or tunnels in which it is easy to get lost
2. something jumbled or confused",,错综复杂的事物,
elicit,"1. call forth (emotions, feelings, and responses)
2. deduce (a principle) or construe (a meaning)
3. derive by reason","When youelicit, you're bringing out a response of some sort. A good comedianelicitsa lot of laughs.",引出，得出,"Elicithas to do with creating or provoking a response. A great speech will elicit cheers â a bad speech will elicit boos. Teachers try to elicit responses from students. If a friend smiles at you, it will probably elicit a smile of your own. In court, a lawyer might try to elicit mistakes and inconsistencies in the testimony of a witness. In all cases, whatever is elicited is some kind of response."
extensive,"1. large in spatial extent or range or scope or quantity
2. broad in scope or content
3. of agriculture; increasing productivity by using large areas with minimal outlay and labor","When something is far-reaching or expansive it isextensive.  When your friend knows every single place and time that his favorite band has played any given song, he hasextensiveknowledge of that band.",广泛的，大量的,"Use the adjectiveextensivefor something that goes on and on and on.  It works for anything that covers a lot of territory either in physical space, as in ""the gardens at the palace areextensive,"" or conceptually, as in ""her knowledge of the mortgage-backed securities market isextensive.""  If you are a farmer, you would also useextensiveto mean that you are able to work a lot of land without too much effort or manual labor."
culinary,1. of or relating to or used in cooking,"Culinarymeans having to do with cooking or the kitchen. If you go toculinaryschool, you're learning how to cook, most likely because you want to work as a chef.",与烹饪有关的,"If you have a culinary streak, you might love cooking for your friends or maybe just watching cooking shows on TV. If your culinary repertoire includes nothing beyond tuna sandwiches and mac-and-cheese out of the box, you have a lot to learn, culinarily speaking!"
groudless,,,毫无根据的,
detritus,"1. loose material (stone fragments and silt etc) that is worn away from rocks
2. the remains of something that has been destroyed or broken up",There aren't many things more depressing than walking on a beautiful beach and discovering a stretch of it that's covered indetritus.Detritusmeans trash or debris.,"残留的碎片(石砾) =debris","Usually,detritusrefers to waste or junk of some kind, but it can actually mean any accumulation of material, not only man-made stuff. Loose gravel, silt, and sand can all be called detritus, and so can decomposed organic matter, like piles of dead leaves. The Latin worddetritusliterally means ""a wearing away."""
anomalous,1. deviating from the general or common order or type,"Something that deviates from the norm isanomalous. Somethinganomalouscan be good, such as an exciting new direction in music or art. But thatanomalouslylow score on your math test? Not so good.",任何事物：不正常的,"To find the origins of the wordanomalouswe can go back to the Greekanášmalos,  meaning ""uneven or irregular."" Something that is anomalous is not just different; it is also unexpected, and may even be completely inconsistent with the norm. For example, the recent discovery of ice, and therefore water, on the moon was anomalous to all previous ideas that the moon was lifeless.


."
haphazard,"1. dependent upon or characterized by chance
2. marked by great carelessness
3. without care; in a slapdash manner","Anythinghaphazardis random, disorganized, slipshod, or hit-or-miss. A tent erectedhaphazardlymight look more like a big nylon bag of dirty laundry than a place to sleep.",随意地被安排,"Ever heard the expression ""I'llhazarda guess?"" In it, the wordhazardmeans ""chance,"" as in ""take a chance.""  Think of thehapinhaphazardas short for ""happen."" Combinehap-and-hazardand you get something that happens (or appears to have happened) by chance. If you approach a math problem with haphazard reasoning, you're likely to get it wrong."
monolithic,"1. imposing in size or bulk or solidity
2. characterized by massiveness and rigidity and total uniformity","When something ismonolithicit's big, and made of one thing. A large piece of stone jutting from the earth is amonolith, and Detroit's economy when it depended entirely on the auto industry wasmonolithic.","一大坨匀质的 指社会结构：因压迫而单一的（贬义）","Broken into its rootsmonoandlithic,monolithicmeans simply ""one stone."" Whenmonolithicis used to describe something societal â like a religion or an organization â it has a slightly negative connotation. This is because anything made up of different people with different beliefs and goals is unlikely to be able to maintainmonolithicstatus for long without force or oppression."
mar,"1. make imperfect
2. destroy or injure severely
3. a mark or flaw that spoils the appearance of something (especially on a person's body)","Amaris a flaw, mark, or blemish, like a deep scratch on a wooden table. As a verb, tomaris to make such an imperfection — like the pen mark thatmarsyour crisp, white shirt.",v. 搞糟，毁容,"We often think of things that mar as immediately noticeable, like scratches, scars, and blemishes, but sometimesmardescribes other ways of ruining something. For example, an unexpected run-in with a difficult person can mar your relaxing day at the beach, just as an unpleasant memory can mar a peaceful state of mind. The thing to remember is, it only takes one scratch, one mean comment, or one negative experience to mar something that is otherwise fine."
grandstanding,"1. a stand at a racecourse or stadium consisting of tiers with rows of individual seats that are under a protective roof
2. the audience at a stadium or racetrack
3. perform ostentatiously in order to impress the audience and with an eye to the applause",,作出夸张行为而获得他人称赞的行为，动词 vi. grandstand,
contagious,"1. (of disease) capable of being transmitted by infection
2. easily diffused or spread as from one person to another",You should probably postpone dinner if your date's cold iscontagious— that means it's easily spread and likely to get you sick.,有感染力的，易于引发同感的,"Contagiousactually evolved fromcontagio, the Latin phrase for “contact."" Those smart ancient Romans — they figured out that the sick and contagious can pass on their plague to those they touch or get close to. So the wordcontagioususually sends people running. But let’s not forget that a smile or good deed can be just as infectious as a cough!"
irk,1. irritate or vex,"The verbirkmeans ""annoy,"" so if the incessant barking of your next door neighbor's pug is driving you crazy, you can say that the noiseirksyou.",某物打扰某人,"Being irked is an individual thing â what drives you crazy might be something your friend doesn't even notice. For example, it might irk your grammarian friend every time he hears someone says ""ain't,"" but other people don't mind it. The earliest version of the wordirk,irken, meant ""to feel weary or tired,"" but it later came to mean ""to tire of or to be disgusted with."""
tendentious,1. having or marked by a strong tendency especially a controversial one,"If you are writing a report on climate change and you ignore evidence that the earth is warming, the paper might be calledtendentious.Tendentiousmeans promoting a specific, and controversial, point of view.",指文章，观点：有倾向性的，有立场性的,"When something is tendentious, it shows a bias towards a particular point of view, especially one that people disagree about. It shares a root with the word, tendency, which means leaning towards acting a certain way. If you have the tendency to talk in a tendentious manner about politics, people might tend to avoid you at parties."
discursive,,"If people accuse you of rambling from topic to topic in your speech or writing, they may say you have a discursive style — with changes in subject that are hard to follow. But it's okay because unicorns are shiny.",=digress：离题的（写作风格）；以事实为论据基础的（学术论文）,"The adjective discursive is often used to describe speech or writing that tends to stray from the main point, but the word can also have almost the opposite meaning. Discursive can also be used to describe an argument based on reason instead of intuition: ""Her discursive dissertation on Colonial American women was well-argued and well-reasoned. Her professors were most impressed with her work."""
blemish,"1. a mark or flaw that spoils the appearance of something (especially on a person's body)
2. mar or spoil the appearance of
3. mar or impair with a flaw
4. add a flaw or blemish to; make imperfect or defective","Ablemishis a small flaw. If you borrow your brother's brand new bicycle, you'd better be careful — what might seem like the tiniestblemishto you might be a horribly ruined paint job to him.",小瑕疵,"The classic example of a blemish is a pimple or other mark on your skin, but you can call any small defect ablemish— like a worm hole in an apple or a scrape on the side of your car. A flaw or fault in your personality or morals can also be called a blemish. You might say that the one time your dog accidentally nipped you is the only blemish on his reputation as a sweet, gentle pet."
patchwork,"1. sewing consisting of pieces of different materials sewn together in a pattern
2. a quilt made by sewing patches of different materials together
3. a theory or argument made up of miscellaneous or incongruous ideas",,"指衣物：被多种材料缝缝补补的； 指理论／语句：混杂多种思想的",
fractious,1. the trait of being prone to disobedience and lack of discipline,"If you're prone to picking fights, making snarky comments, and being frustratingly stubborn, you're fractious. And odds are you're not invited to too many parties.
","指人不听管教的，容易发火的；指某个事物：带来很多麻烦的，难以处理的 =cranky=rebellious","Someone who is fractious is cranky, rebellious and inclined to cause problems. Tempers and children are commonly described as such. In To Kill A Mockingbird, author Harper Lee uses the word to describe the trouble-making Calpurnia: ""She had always been too hard on me, she had at last seen the error of her fractious ways, she was sorry and too stubborn to say so."""
affable,1. diffusing warmth and friendliness,"Affablemeans friendly, pleasant, and easy to talk to. Anaffablehost offers you something to drink and makes you feel at home.","热心肠的，容易亲近的 =genial=gracious=hospitable","The adjectiveaffableentered English by way of the Latin wordaffābilis, which means ""kind, friendly."" If you’re stuck on an airplane next to someone affable, the trip won’t be so bad because that person will be easy to chat with but won’t talk your ear off. Synonyms ofaffablealso refer to a pleasant and mild friendliness, such asgenial,hospitable, andgracious. Affable people generally seem like they’re in a good mood and are happy to see you."
overarching,"1. be central or dominant
2. form an arch over",This scene overarches the entire first act,核心的，主要的(目标／观点),
heterogeneous,"1. consisting of elements that are not of the same kind or nature
2. originating outside the body","Heterogeneouscan be used to describe the diversity of nearly anything — populations, classrooms, collections. Aheterogeneousarray of immigrants passed through Ellis Island to help create the American ""melting pot.""",异质的,"An easy way to remember the meaning of this word is thathomois the same andheterois different. So, a homogeneous group of puppies might consist of apricot-colored poodles, while a heterogeneous group might consist of a hodgepodge of different pups ranging from dachshunds to dalmatians. Anytime you are confronted with a group whose members are not all similar to one another, you have an opportunity to trot outheterogeneous."
disparate,"1. fundamentally different or distinct in quality or kind
2. including markedly dissimilar elements","The trunk of some people's cars may contain items asdisparateas old clothes, rotting food, and possibly a missing relative.Disparatethings are very different from each other.",截然不同的,"Near synonyms areunequalanddissimilar.The adjectivedisparateis from Latindisparātus,fromdisparāre""to separate, divide,"" from the prefixdis-""apart"" plusparāre""to prepare.""Disparatein the sense of ""very different"" probably developed by association with the Latin adjectivedispar""unequal, different."""
engaging,1. attracting or delighting,"A story, song, or person that isengagingis entertaining, fun, and interesting — you want to see or hear more.","迷人的；有趣的 =entertaining=interesting","To remember the meaning ofengaging, it might help to think of whatengagedmeans. When a couple is engaged, they've agreed to get married. When something or somebody is engaging, you want to spend more time with them too. Boring is the complete opposite of engaging. Think of your favorite movie or TV show — especially one you can't stop watching — it must be very engaging."
unfeeling,"1. devoid of feeling for others
2. devoid of feeling or sensation",,无同情心的,
disingenuous,1. not straightforward or candid; giving a false appearance of frankness,Use the adjectivedisingenuousto describe behavior that's not totally honest or sincere. It'sdisingenuouswhen people pretend to know less about something than they really do.,=insincere不真诚的,"Disingenuouscombinesdis-, meaning not, withingenuous(from the Latingen-, meaning born) which was originally used to distinguish free-born Romans from slaves, and later came to mean honest or straightforward. Sodisingenuousmeans dishonest.Ingenuousis less common now thandisingenuous, but we still use it for someone who is sincere to the point of naivetĂŠ.  A good synonym isinsincere."
embody,"1. represent in bodily form
2. represent, as of a character on stage
3. represent or express something abstract in tangible form","Toembodya role is to fill it completely. If a high schooler seems toembodythe character of Macbeth, his performance might make the audience forget they're watching a dorky 15-year-old with braces.",包含，收录,"If youembodysomeone, you put him or her ""in-body,"" as when an actor gives a complete and compelling representation of a character. You can also useembodyto describe character traits you see in a person, like, “Heembodiestruth,” or, “She is theembodimentof goodness.”"
nothing if not,,,极其=very,
disorienting,1. causing loss of physical or intellectual bearings,Disorientingthings make you feel confused. It'sdisorientingeach time you step out of a subway station in a big city — it takes a minute to get your bearings and figure out which direction to walk.,=confusing,"Waking up from the anesthetic after having your wisdom teeth removed is very disorienting, and a disorienting first day at a new school shouldn't be surprising. The adjectivedisorientingcomes fromdisorient, or ""make someone lose their sense of direction,"" which has a French source,désorienter, ""to cause to lose one's bearings,"" or literally, ""to turn from the east."""
humble,"1. marked by meekness or modesty; not arrogant or prideful
2. of low birth or station (`base' is archaic in this sense)
3. low or inferior in station or quality
4. used of unskilled work (especially domestic work)
5. cause to be unpretentious
6. cause to feel shame; hurt the pride of","A person or a place can behumble,but a person who brags about being humble, or not proud, may have too much pride in being ""humble"" to actuallybehumble.",社会地位低下的=insignificant,"Sometimes fictional characters try to earn favor by saying ""I'm just ahumbleman in search of...,"" when it is obvious they are the opposite. Truly humble people keep quiet about the good things they do and about theirhumble,or poor and simple, backgrounds. In the Bible, Jesus is described as humble because he was born in a stable, served the poor, and sacrificed himself without bragging about it â and he gave all the credit to his dad."
empower,"1. give or delegate power or authority to
2. give qualities or abilities to","Empowermeans ""give power or authority to."" When you educate children and believe in them, youempowerthose kids to go after their dreams.",授权；给予力量,"Empowermight seem like a new word, but it's been around since the 17th century. Today,empoweroften refers to helping someone realize their abilities and potential, perhaps for the first time. For example, 
in the 1960s, when women felt like second-class citizens, the women's movement empowered them to stand up and demand their equal rights."
calamitous,1. (of events) having extremely unfortunate or dire consequences; bringing ruin,Acalamitousevent is one that leads to a catastrophe — like thecalamitouscrashing of your parents' car into the garage door.,灾难的,"Calamitousis an adjective that is generally used to describe events, and these events are disastrous or destructive. A failed election can be a calamitous event for a politician, especially if he loses by a landslide. Ever heard of Calamity Jane? She was known for her wild, calamitous behavior in the Wild West during the 19th century. Steer clear of anyone with a name likeCalamity."
diametrically,1. as from opposite ends of a diameter,,截然相反的,
trifling,"1. not worth considering
2. the deliberate act of delaying and playing instead of working","If something istriflingit's really unimportant, of no consequence — ""atrifling detail.""",微不足道的,"Everything is relative, of course, and what might appear trifling to one person may take on deep importance for another. Clues are classically trifling things. As Sherlock Holmes explains to Dr. Watson when faced with a seemingly minor detail: ""It is, of course, a trifle, but there is nothing so important as trifles."""
deleterious,1. harmful to living things,"If something isdeleterious, it does harm or makes things worse. Smoking has obviousdeleteriouseffects on your health, not to mention your social life.",有害的是,"My parents were worried that their divorce would have a deleterious effect on us kids, but in the end it was less harmful than watching them fight all the time. For most plants, a lack of sunlight has very deleterious consequences, but there are some plants that actually do very well in the dark. It's a wonder, given how well-established the science is, that we continue to do things that are deleterious to the fragile ecosystem. We must be willing to live with the deleterious effects."
incommensurable,"1. impossible to measure or compare in value or size or excellence
2. not having a common factor",,由于缺乏共同的特征而无法比较的,
commensurate,1. corresponding in size or degree or extent,"The wordcommensuratehas to do with things that are similar in size and therefore appropriate. Many people think the death penalty is acommensuratepunishment for murder. In other words, the penalty fits the crime.",adj. 在某方面相似的,"When things are commensurate, they're fair, appropriate, and the right size. If you got a ticket for jaywalking, you shouldn't get ten years in prison â that penalty is not commensurate with the crime. The wordcommensurateis usually followed bywithorto; one thing is commensurate with or to another."
at variance,,,争论，不和,
comity,1. a state or atmosphere of harmony or mutual civility and respect,"The nouncomitymeans a state of civility or courtesy between people, organizations, and nations. It's a hoped-for mutual respect and friendliness, although too infrequently the case in politics and business.","国家之间的友好融洽的氛围 comity of nations","Comityis one of those rare words that has retained its original meaning through the ages. The Latin adjectivecōmis, ""courteous, friendly,"" developed into the nouncōmitātem, meaning ""courtesy or friendliness"" and ultimately into Englishcomityin the 16th century. The phrase ""comityof nations,"" coined in 1862, refers to the mutual respect for each other's laws and institutions that encourages a friendly back-and-forth between nations."
