,0
480,demoralize
481,pugnacious
482,singular
483,polemical
484,prevalent
485,illustrious
486,parallel
487,yield
488,laud
489,coalesce
490,repetitious
491,foretell
492,alienation
493,rationale
494,sober
495,prudent
496,fickle
497,extirpate
498,revitalize
499,ironic
500,valid
501,compassionate
502,mendacity
503,didacticism
504,loath
505,contentious
506,diametrically
507,implacable
508,proficient
509,self-perpetuating
510,verisimilitude
511,hodgepodge
512,torpor
513,complacency
514,proximity
515,self-serving
516,champion
517,routine
518,revile
519,unwieldy
520,protract
521,congeniality
522,mockery
523,sanction
524,suffocate
525,slippery
526,flighty
527,dilemma
528,punctiliousness
529,immaterial
530,fractious
531,extroverted
532,slacken
533,exasperate
534,serendipity
535,glean
536,elicit
537,manageable
538,ballyhoo
539,eternal
540,mawkish
541,buttress
542,tribute
543,palpable
544,pensiveness
545,overwhelm
546,trigger
547,zealot
548,lambast
549,stimulant
550,anachronism
551,fastidiousness
552,altruism
553,harrowing
554,comity
555,prolific
556,molder
557,pretense
558,stubborn
559,insouciance
560,obduracy
561,disarray
562,veil
563,anthropogenic
564,turbulence
565,cynical
566,genteel
567,feign
568,insightful
569,linger
570,quell
571,blemish
572,shriek
573,edifying
574,analogous
575,compliance
576,lull
577,exasperation
578,eminence
579,naïveté
580,heartfelt
581,incredible
582,chauvinistic
583,intrinsic
584,synthesis
585,estrangement
586,condescending
587,motley
588,ogre
589,benevolent
590,arduous
591,pertain
592,haphazardly
593,incontrovertible
594,pledge
595,ingenuous
596,litigation
597,mimic
598,reticence
599,effusiveness
600,stupefaction
601,consequential
602,solemn
603,lugubrious
604,strenuous
605,puncture
606,scrutinize
607,pecuniary
608,promulgate
609,redundancy
610,disingenuous
611,visible
612,encyclopedic
613,solitary
614,condemn
615,novelty
616,stymie
617,malfeasance
618,expedient
619,obtrusive
620,apprehension
621,haphazard
622,reprehend
623,overwhelming
624,prominence
625,exiguous
626,impetuous
627,acrimony
628,emblematic
629,evasive
630,erudition
631,anonymity
632,profusion
633,avaricious
634,burlesque
635,ambivalence
636,ponder
637,felicitous
638,deliberate
639,cunning
640,spurn
641,whim
642,appraise
643,lionize
644,negligible
645,pervasive
646,compunction
647,nondescript
648,fanatical
649,aggrieve
650,adversarial
651,veracity
652,abstemious
653,somnolent
654,antiquated
655,perilous
656,impair
657,conundrum
658,monitor
659,intercept
660,rally
661,negate
662,banality
663,truculent
664,baroque
665,self-aggrandizing
666,evade
667,audacious
668,inertial
669,exclusive
670,unassuming
671,certitude
672,indiscriminate
673,transparency
674,flamboyant
675,incursion
676,ephemerality
677,paragon
678,ancillary
679,succinct
680,substitute
681,lucidity
682,unruliness
683,proprietary
684,commendation
685,euphemism
686,circuitous
687,histrionic
688,envisage
689,inclusive
690,tonic
691,futile
692,engender
693,articulate
694,resonate
695,deceptive
696,volatile
697,invigorate
698,devious
699,disguise
700,befuddled
701,reserved
702,marginal
703,concession
704,averse
705,provenance
706,opprobrium
707,outstrip
708,versatile
709,disseminate
710,intriguing
711,croon
712,culpability
713,sectarian
714,emergent
715,exculpatory
716,exactitude
717,simultaneous
718,virtuosity
719,quiescence
720,enamored
721,sporadic
722,rapacious
723,portend
724,dwindle
725,codify
726,unwavering
727,munificent
728,idle
729,reminiscent
730,discretionary
731,tenacious
732,underrate
733,stagnation
734,eloquence
735,endemic
736,concede
737,exalt
738,acquiescence(to)
739,beneficence
740,demise
741,impassioned
742,encomium
743,paradigmatic
744,supercilious
745,quip
746,incredulity
747,conscientious
748,tout
749,deflate
750,languishing
751,adulation
752,hindsight
753,raging
754,approbation
755,enterprising
756,petty
757,ascribe
758,amorphous
759,render
760,trepidation
761,melancholy
762,wrest
763,fret
764,layperson
765,chimera
766,decimal
767,quotidian
768,reproach
769,patchwork
770,deem
771,groundless
772,transgress
773,untether
774,narcissistic
775,trustee
776,worship
777,deter
778,hectic
779,reverence
780,conform
781,integrate
782,indubitable
783,tantalize
784,imprecision
785,petrify
786,contingent
787,curtail
788,adversary
789,purview
790,magisterial
791,glamorous
792,incorporated
793,tortuous
794,spew
795,indiscretion
796,hail
797,imitate
798,strip away
799,bourgeois
800,irk
801,fallibility
802,ebullience
803,introspection
804,celebrated
805,corollary
806,dictum
807,rejuvenation
808,renounce
809,shrewd
810,quiescent
811,compromise
812,parity
813,preliminary
814,bereft (of)
815,ponderousness
816,meretricious
817,unassailable
818,murky
819,impotency
820,flip
821,regurgitate
822,peer
823,refute
824,hybrid
825,impassive
826,impeccable
827,connotation
828,wondrous
829,revelation
830,worsen
831,unrelenting
832,obliterate
833,acclaim
834,itinerant
835,tart
836,marketable
837,gossamer
838,conjure
839,consternation
840,canonical
841,maudlin
842,disgorge
843,legacy
844,patriotism
845,quibbler
846,arduousness
847,grandeur
848,concision
849,aver
850,surmount
851,vantage
852,sterling
853,peregrination
854,nefariousness
855,rectitude
856,enervate
857,sophistication
858,majestic
859,flummery
860,xenophobic
861,confessional
862,disproportionate
863,incompatible
864,grip
865,soothe
866,exude
867,blatant
868,lavish
869,bleak
870,supremacy
871,discard
872,stand out from the
873,castigate
874,mutability
875,plentitude
876,underlying
877,humble
878,delineate
879,assiduousness
880,shift
881,adversity
882,clement
883,abstract from
884,camaraderie
885,sophist
886,repertoire
887,cavalier
888,unremarkable
889,omniscient
890,objectionable
891,stun
892,venture
893,heedlessly
894,discernment
895,upend
896,stingy
897,smother
898,jubilation
899,moralistic
900,badger
901,deject
902,aspersion
903,capitulate
904,undue
905,hypocrisy
906,eradicate
907,eloquent
908,warmhearted
909,quandary
910,omnipresent
911,initially
912,demarcate
913,negotiate
914,jubilant
915,prognosis
916,denigrate
917,opinionated
918,eclecticism
919,decouple
920,plagiarism
921,doctrinaire
922,abject
923,odd
924,boast
925,opprobrious
926,stance
927,choleric
928,panoply
929,gravity
930,fatigue
931,cantankerous
932,transparent
933,definitive
934,evident
935,grand
936,exorbitance
937,melancholic
938,coherent
939,conducive
940,anchor
941,tendentious
942,solemnity
943,unique
944,pretext
945,ostentatious
946,meddle
947,countermand
948,puerile
949,deception
950,roil
951,astringent
952,wistful
953,polish
954,gregarious
955,stipulate
956,chaos
957,stimulate
958,inclusiveness
959,selective
960,triteness
961,perspicacity
962,exclude
963,foreordain
964,enchanting
965,mock
966,succor
967,brook
968,repository
969,qualify
970,palliative
971,intractable
972,labyrinth
973,solace
974,expenditure
975,evoke
976,idiosyncratic
977,distinctive
978,betray
979,elate
980,metaphorical
981,irreversible
982,consort
983,affirmative
984,recapitulation
985,incongruous
986,chronicle
987,fade
988,oscillate (between)
989,experimental
990,peccadillo
991,genealogy
992,undiscriminating
993,congruent
994,scathing
995,imperative
996,kinetic
997,benevolence
998,duplicitous
999,civic
1000,subservient
1001,unfeeling
1002,intent
1003,emotive
1004,obstinate
1005,distressing
1006,evocatively
1007,discreet
1008,design
1009,superficially
1010,suppress
1011,devastate
1012,prune
1013,credibility
1014,fraudulence
1015,mutually
1016,trickster
1017,restless
1018,heterogeneously
1019,pompous
1020,loathe
1021,cataclysmic
1022,duplicity
1023,scaremonger
1024,espouse
1025,underscore
1026,counterfeit
1027,objective
1028,hyperbolic
1029,supposition
1030,nepotism
1031,cagey
1032,milieu
1033,bountiful
1034,derive
1035,bargain
1036,pragmatist
1037,monstrous
1038,anathema
1039,madcap
1040,snappish
1041,exigent
1042,inadequacy
1043,rattle
1044,belligerence
1045,fatiguing
1046,mandate
1047,untenable
1048,synopsis
1049,fanciful
1050,mysterious
1051,hasty
1052,impolitic
1053,sentiment
1054,fragility
1055,off-putting
1056,supplementary
1057,integrity
1058,magnify
1059,reconcile
1060,fall short
1061,inflammatory
1062,charismatic
1063,elemental
1064,futility
1065,decline
1066,counterbalance
1067,bumble
1068,clarity
1069,antithetical
1070,import
1071,brute
1072,unconscious
1073,culmination
1074,manipulate
1075,rant
1076,placate
1077,corruption
1078,permeable
1079,captivating
1080,critique
1081,hone
1082,commiserate
1083,synapse
1084,vivacity
1085,deferential
1086,eclectic
1087,tactful
1088,polymathic
1089,lucubration
1090,wearisome
1091,aesthetics
1092,delegate
1093,list
1094,acrimonious
1095,neophyte
1096,shortcut
1097,crisp
1098,sporadically
1099,pedagogical
1100,materialism
1101,megalomania
1102,venal
1103,novice
1104,beguiling
1105,insidious
1106,recession
1107,feeble
1108,converge
1109,thorough
1110,randomly
1111,scant
1112,acquired
1113,selfless
1114,neutral
1115,disciplined
1116,peddle
1117,superintendent
1118,fissure
1119,seclusion
1120,ungainly
1121,shackle
1122,vexatious
1123,abstinence
1124,suspense
1125,esteem
1126,feasible
1127,panegyric
1128,catalyst
1129,credence
1130,canny
1131,backhanded
1132,predicament
1133,unflinching
1134,marvel
1135,hatred
1136,inexorable
1137,gaiety
1138,impulsiveness
1139,skullduggery
1140,obsequious
1141,functional
1142,modicum
1143,presumption
1144,intoxication
1145,divination
1146,deviate from
1147,captious
1148,counter
1149,heresy
1150,reminiscence
1151,uncompromising
1152,incompatibility
1153,cumbersome
1154,impertinent
1155,bar
1156,sanctimonious
1157,jeremiad
1158,founder
1159,misinterpretation
1160,baneful
1161,exposition
1162,obdurate
1163,instigate
1164,courteous
1165,satire
1166,boorish
1167,snag
1168,gild
1169,controversy
1170,incompetence
1171,sleek
1172,profligate
1173,detach
1174,opportune
1175,enervated
1176,anarchistic
1177,underestimate
1178,irascible
1179,momentous
1180,animadversion
1181,persistence
1182,ostensibly
1183,turbid
1184,coordinate
1185,affliction
1186,putative
1187,fluster
1188,victorious
1189,calumny
1190,deft
1191,divert
1192,mordancy
1193,sensuous
1194,surrender
1195,baseless
1196,impulsive
1197,prestige
1198,demanding
1199,membrane
1200,frank
1201,amenable
1202,bewilder
1203,burgeon
1204,picky
1205,Indiscriminate
1206,cajole
1207,assault
1208,exclusively
1209,concoct
1210,check
1211,hortatory
1212,incommensurable
1213,commensurate
1214,unavoidable
1215,repudiate
1216,placid
1217,seethe
1218,fuel
1219,provincialism
1220,imprudence
1221,zealotry
1222,presume
1223,benighted
1224,metamorphose
1225,recant
1226,buoyancy
1227,static
1228,coincidental
1229,all the more
1230,univocal
1231,disposition
1232,shrink from
1233,calamitous
1234,engaging
1235,justification
1236,seminal
1237,damp
1238,disorienting
1239,prescience
1240,sovereignty
1241,dubious
1242,pitfall
1243,repugnant
1244,laudatory
1245,sever
1246,guild
1247,comportment
1248,imperious
1249,exculpation
1250,straits
1251,validation
1252,ante
1253,adherence
1254,animate
1255,valedictory
1256,retrenchment
1257,preside
1258,revisionist
1259,disperse
1260,endeavor
1261,aggrandize
1262,kinship
1263,innocent
1264,consensus
1265,fraud
1266,heretofore
1267,verify
1268,sidestep
1269,sage
1270,portent
1271,refractory
1272,blithely
1273,contrivance
1274,passionate
1275,forswear
1276,vernacular
1277,cowardly
1278,propriety
1279,malodorous
1280,superiority
1281,authoritarianism
1282,feat
1283,liken
1284,irrational
1285,surmise
1286,recede
1287,viable
1288,lurk
1289,emulsify
1290,occlude
1291,intransigence
1292,arrest
1293,inertia
1294,glib
1295,trifling
1296,maze
1297,sagaciousness
1298,omnivorous
1299,bureaucratic
1300,degenerative
1301,insulate
1302,verification
1303,ramification
1304,delude
1305,retroactive
1306,contemptuous
1307,accession （to）
1308,barring
1309,infelicity
1310,better
1311,grandstanding
1312,admonish
1313,drawback
1314,optimize
1315,improbable
1316,propitiate
1317,speculation
1318,ministration
1319,placatory
1320,quackery
1321,quirky
1322,nonchalance
1323,proscription
1324,neutralized
1325,parsimonious
1326,not least
1327,artless
1328,ridicule
1329,overture
1330,nugatory
1331,halfhearted
1332,elephantine
1333,gradient
1334,exculpate
1335,worrisome
1336,legitimize
1337,vacant
1338,salubrious
1339,plunder
1340,accent
1341,halt
1342,idiosyncrasy
1343,limpid
1344,ponderous
1345,chastise
1346,emendation
1347,synergy
1348,symmetrically
1349,avant-garde
1350,privation
1351,obfuscation
1352,denounce
1353,discursion
1354,balanced
1355,invective
1356,reciprocity
1357,eccentric
1358,promote
1359,salacious
1360,grimy
1361,anecdotal
1362,divergence
1363,insipid
1364,fervor
1365,mediocrity
1366,fealty
1367,hackneyedness
1368,hackneyed
1369,electorate
1370,detract
1371,invidious
1372,balk
1373,moribund
1374,tactless
1375,ad hoc
1376,civility
1377,belabor
1378,parameter
1379,trajectory
1380,outdo
1381,ripple
1382,lopsided
1383,detrimental
1384,efficacious
1385,prioritize
1386,forsake
1387,verdict
1388,bemoan
1389,manage
1390,coincident
1391,disquisition
1392,rambling
1393,forbear
1394,skirt
1395,boisterous
1396,exigency
1397,bludgeon
1398,veto
1399,anodyne
1400,extrapolate
1401,vulgarity
1402,sensible
1403,abbreviate
1404,evenhandedness
1405,truncate
1406,epic
1407,substantiate
1408,embellish
1409,coax
1410,demarcation
1411,pack
1412,triumph
1413,callow
1414,camouflage
1415,divergent
1416,parochial
1417,marked
1418,voluminous
1419,zenith
1420,purport
1421,naturalism
1422,normalcy
1423,rule out
1424,random
1425,identical
1426,polymath
1427,teem
1428,apocalyptic
1429,vituperation
1430,excavate
1431,substantiation
1432,uphold
1433,aberrant
1434,coddle
1435,rebellious
1436,lapse
1437,grandiose
1438,parochialism
1439,stave off
1440,unpretentious
1441,impalpable
1442,counterintuitive
1443,nuance
1444,indignant
1445,accede
1446,pellucid
1447,moderate
1448,avow
1449,urbane
1450,explicitness
1451,bombast
1452,avert
1453,inspire
1454,stratified
1455,bear out
1456,forerunner
1457,legitimate
1458,visionary
1459,contingency
1460,dignified
1461,austere
1462,salience
1463,absolute
1464,venerable
1465,causality
1466,lethargy
1467,encumber
1468,indict
1469,revealing
1470,somber
1471,vehement
1472,manuscript
1473,egotistical
1474,lambaste
1475,laboriously
1476,gargantuan
1477,cogent
1478,alacrity
1479,hedge
1480,spark
1481,anecdote
1482,unimpeded
1483,contemplation
1484,valorize
1485,overbearing
1486,validity
1487,imprudent
1488,approbatory
1489,discrepancy
1490,senescence
1491,precociousness
1492,devolve
1493,antagonize
1494,keep at bay
1495,deluge
1496,cavil
1497,philistine
1498,endowment
1499,notwithstanding
1500,antecedent
1501,turgid
1502,prodigious
1503,pious
1504,demeanor
1505,detestation
1506,caricature
1507,plaintive
1508,stalwart
1509,retract
1510,kinfolk
1511,retaliate
1512,incivility
1513,rehabilitate
1514,proclaim
1515,monotonous
1516,palliate
1517,revel
1518,largesse
1519,sleazy
1520,sustain
1521,crushing
1522,dissemblance
1523,fraught
1524,clogged
1525,artful
1526,bemuse
1527,falsity
1528,discriminatory
1529,contravene
1530,detection
1531,immutability
1532,irresolution
1533,staunch
1534,groan
1535,bombshell
1536,stratification
1537,elude
1538,parody
1539,tentative
1540,utility
1541,spate
1542,emulation
1543,attribute
1544,draconian
1545,deaden
1546,scrupulous(ness)
1547,crassness
1548,multitudinous
1549,endorsement
1550,precocity
1551,multifarious
1552,tedium
1553,pretension
1554,deteriorate
1555,antiquarian
1556,fleeting
1557,leach
1558,exotic
1559,punctuate
1560,convivial
1561,imperturbable
1562,backwater
1563,frivolous
1564,compartmentalize
1565,desertion
1566,jockey
1567,gullible
1568,peripatetic
1569,snub
1570,rebuff
1571,memento
1572,acquiescent
1573,imminent
1574,insulting
1575,perfidious
1576,suppleness
1577,subversive
1578,deadpan
1579,resuscitate
1580,offish
1581,eulogize
1582,shy away
1583,measured
1584,discretion
1585,untrammelled
1586,deterioration
1587,laudable
1588,disinclination
1589,hysteria
1590,fervent
1591,beatify
1592,intrepid
1593,intelligible
1594,equitable
1595,formulaic
1596,preponderance
1597,vengeful
1598,pessimism
1599,defer (to)
1600,unwarranted
1601,perennial
1602,insurmountable
1603,porous
1604,glorification
1605,nepotistic
1606,conservatism
1607,embargo
1608,calculated
1609,fractiousness
1610,antedate
1611,conclusive
1612,overstatement
1613,sycophancy
1614,arousal
1615,aghast
1616,transcendent
1617,compact
1618,qualitative
1619,readable
1620,abet
1621,conformity
1622,debut
1623,chagrin
1624,manic
1625,rebuke
1626,disheartening
1627,censorious
1628,ploy
1629,theatrics
1630,tedious
1631,adjudicate
1632,numinous
1633,partiality
1634,plain
1635,gravitate(to/towards
1636,gourmet
1637,affluence
1638,coveted
1639,hierarchy
1640,dutiable
1641,remuneration
1642,particularize
1643,extravagant
1644,assiduous
1645,august
1646,override
1647,maverick
1648,misfeasance
1649,garb
1650,prolixity
1651,routinely
1652,contradictory
1653,standstill
1654,stale
1655,exhaustiveness
1656,debilitate
1657,oversell
1658,evanescence
1659,endow
1660,accession（to）
1661,tempting
1662,pushover
1663,invalidate
1664,dominant
1665,obsequiousness
1666,fury
1667,ebullient
1668,stringent
1669,fulmination
1670,allusion
1671,sham
1672,bristle
1673,meticulousness
1674,ring true
1675,predominant
1676,denunciation
1677,ramshackle
1678,embolden
1679,acute
1680,cachet
1681,contemplate
1682,unencumbered
1683,naivety
1684,pseudoscience
1685,ethereal
1686,mandatory
1687,provocation
1688,enduring
1689,abate
1690,yield to
1691,beguile
1692,ambiguity
1693,uniformly
1694,exhaustion
1695,testimony
1696,remarkable
1697,apprehend
1698,bighearted
1699,spiteful
1700,stiffen
1701,get in the way
1702,deprecatory
1703,awkward
1704,vexation
1705,degenerate
1706,plod
1707,credible
1708,inverse
1709,qualification
1710,diverting
1711,sonorous
1712,winnow
1713,convergent
1714,exaggeration
1715,inception
1716,diversity
1717,fiery
1718,abash
1719,hubristic
1720,outskirt
1721,stigma
1722,self-effacing
1723,diverge
1724,entanglement
1725,clumsy
1726,condign
1727,adulate
1728,metaphoric
1729,uniform
1730,suggest
1731,meander
1732,unkempt
1733,impute
1734,motivation
1735,emancipate
1736,virtue
1737,fusty
1738,savior
1739,realism
1740,sparse
1741,grumble
1742,unsentimental
1743,succumb to
1744,omnipresence
1745,obviates
1746,unyielding
1747,incinerator
1748,upsurge
1749,upbeat
1750,inductive
1751,exonerate
1752,atypical
1753,fake
1754,forbearing
1755,epilogue
1756,exiguity
1757,rabid
1758,implement
1759,domestic
1760,officious
1761,prescriptive
1762,pejorative
1763,affinity
1764,haunted
1765,clamorous
1766,substitution
1767,slant
1768,impermanence
1769,importunate
1770,tenured
1771,florid
1772,old-timer
1773,wholesale
1774,intensification
1775,immerse
1776,ostentatiousness
1777,absolve
1778,overrate
1779,hobble
1780,brazen
1781,equanimity
1782,imperturbability
1783,unsettling
1784,incommensurate
1785,brackish
1786,polarize
1787,umbrage
1788,enormity
1789,flummox
1790,poignant
1791,vindicate
1792,rarefied
1793,make the grade
1794,lucidity.
1795,entice
1796,multifaceted
1797,deadlock
1798,reign
1799,redolent
1800,synthesize
1801,stridency
1802,exhilaration
1803,complimentary
1804,discredited
1805,swift
1806,wayward
1807,synonymous
1808,mien
1809,stagnant
1810,churn
1811,probity
1812,incredulous
1813,dramatic
1814,austerity
1815,stalemate
1816,tease apart
1817,naysayer
1818,tyro
1819,platitudinous
1820,orderly
1821,on that/this score
1822,resourcefulness
1823,lurid
1824,exile
1825,scarce
1826,mediocre
1827,adduce
1828,get one's own way
1829,acquiescence（to）
1830,isolation
1831,square
1832,impulse
1833,impregnable
1834,inopportune
1835,trenchancy
1836,homogeneous
1837,squelch
1838,furnish
1839,culinary
1840,pedantic
1841,unambiguous
1842,paradoxical
1843,elitist
1844,quintessential
1845,vendor
1846,nurturant
1847,slapdash
1848,enlighten
1849,comprehend
1850,detachment
1851,knotty
1852,finicky
1853,solicitous
1854,insalubrious
1855,empiricism
1856,dispassionate
1857,at a premium
1858,gaffe
1859,phlegmatic
1860,effluvia
1861,inevitable
1862,sanity
1863,notoriety
1864,vista
1865,proselytizer
1866,precipitate
1867,revival
1868,obloquy
1869,tweak
1870,adroit
1871,slur
1872,solidarity
1873,prophylactic
1874,obligatory
1875,flagrant
1876,agglomerate
1877,slumber
1878,wariness
1879,pertinacity
1880,sanguinity
1881,squander
1882,lucid
1883,undisciplined
1884,complicate
1885,amend
1886,boon
1887,dichotomous
1888,chic
1889,mediate
1890,modulate
1891,honorific
1892,decadent
1893,aberration
1894,empower
1895,improvisation
1896,attune
1897,isolate
1898,revision
1899,estranged
1900,perishable
1901,gloat
1902,glitz
1903,chivalrous
1904,bog down
1905,leniency
1906,intermediary
1907,tempestuous
1908,impotent
1909,expiation
1910,raillery
1911,from scratch
1912,dispense
1913,peculiarity
1914,quizzical
1915,profess
1916,fathomless
1917,luminary
1918,tinker
1919,exemplary
1920,grouchiness
1921,buoy
1922,facetious
1923,foment
1924,gratitude
1925,proffer
1926,extensive
1927,hitch
1928,shun
1929,onset
1930,pedant
1931,perceptible
1932,flippancy
1933,expel
1934,persistent
1935,panache
1936,obeisance
1937,encounter
1938,stunning
1939,churlish
1940,pastiche
1941,infuriate
1942,execrate
1943,recoil from
1944,injudicious
1945,discern
1946,satirize
1947,extraction
1948,eminent
1949,impertinence
1950,annihilate
1951,amalgam
1952,cinch
1953,burdensome
1954,preachy
1955,detritus
1956,disparateness
1957,sift from
1958,surplus
1959,pessimistic
1960,guilelessness
1961,resign
1962,overarching
1963,implication
1964,flabbergasted
1965,transitory
1966,irenic
1967,perfidiousness
1968,bromidic
1969,prodigy
1970,vicious
1971,recondite
1972,inherent
1973,demur
1974,malefactor
1975,egotist
1976,assertiveness
1977,awry
1978,taint
1979,cherished
1980,acquaintance
1981,sensationalism
1982,unflagging
1983,assuming
1984,hostile
1985,hew to
1986,violate
1987,peripheral
1988,predecessor
1989,diffuse
1990,pseudonym
1991,warp
1992,minimal
1993,infringement
1994,truism
1995,merge
1996,riddle
1997,unerring
1998,chronology
1999,insatiable
2000,condone
2001,fault
2002,superannuation
2003,entreat
2004,unflappability
2005,hyperbole
2006,generic
2007,oust
2008,culprit
2009,diminutive
2010,diatribe
2011,stern
2012,overhaul
