section,题号,单词,音标,释义
,,,,YunMengZe1020 获取机经】
S2,Q4,unimpeded,"[,ʌnɪm'pidɪd]","未受阻止的; 未受妨碍的 If something moves or happens unimpeded, it continues without"
,,,,being stopped or interrupted by anything.
S2,Q5,repertoire,['rɛpɚ'twɑr],全部曲目; 保留剧目 A performer's repertoire is all the plays or pieces of music that he or
,,,,she has learned and can perform.
S2,Q5,tease apart,[tiz] [ə'pɑrt],梳理 disentangle
S2,Q5,straightforward,"[,stret'fɔrwɚd]",1.  易懂的 easy to do or understand : not complicated
,,,,"2. 坦率的 free from evasiveness or obscurity : exact, candid"
S2,Q5,augment,[ɔg'mɛnt],"增加 To augment something means to make it larger, stronger, or more effective by"
,,,,adding something to it.
S2,Q5,ameliorate,[ə'milɪə'ret],"改善，减轻 to make better, less painful, etc"
S2,Q5,anticipate,[æn'tɪsə'pet],1. 预期/料 to expect that sth will happen and be ready for it
,,,,2. 期待(好事）to think about sth good that is gonna happen.
,,,,3. 先于…之前(做) to do sth before sb else : forestall
S2,Q6,ironic,[aɪ'rɑnɪk],讽刺的  using words that mean the opposite of what you really think especially in order to
,,,,be funny【上海云端教育·专注 GRE：添加微信 YunMengZe1020 获取机经】
S2,Q6,honorific,['ɑnə'rɪfɪk],尊敬的 showing  respect or honour to someone
S2,Q6,malign,[mə'laɪn],1. adj. 有害的 causing or intended to cause harm
,,,,2. v. 诽谤，中伤 to say bad things about someone or something publicly : to criticize
,,,,someone or something harshly or unfairly
S2,Q6,negotiate,[nɪ'ɡoʃɪet],"1. 谈判 If people negotiate with each other or negotiate an agreement, they talk about a"
,,,,problem or a situation such as a business arrangement in order to solve the problem or
,,,,complete the arrangement.
,,,,"2. 成功越过 If you negotiate an area of land, a place, or an obstacle, you successfully travel"
,,,,across it or around it.
S2,Q6,compromise,['kɑmprəmaɪz],1. 妥协，放弃 to give up something that you want in order to reach an agreement
,,,2. 危害 to damage or weaken something,
S2,Q7,disclose,[dɪs'kloz],公开，揭露 to make something known to the public
S2,Q7,brook,[brʊk],容忍，允许 to allow something to exist or happen
S2,Q7,repudiate,[rɪ'pjudɪet],拒绝，驳斥 to refuse to accept or support something : to reject something or someone
S2,Q7,regurgitate,[rɪ'ɡɝdʒɪtet],1. 反刍 to bring food that has been swallowed back to and out of the mouth
,,,,"2. 重申观点 to repeat something, such as a fact, idea,etc without understanding it"
S2,Q8,beneficence,[bɪ'nefɪsəns],善行; 慈善 the act of doing good; kindness
S2,Q8,altruism,['æltruɪzəm],利他主义 Altruism is unselfish concern for other people's happiness and welfare.
S2,Q9,sanguinity,[sæn'ɡwɪnəti],自信 confident and hopeful
S2,Q9,verisimilitude,"[,verɪsɪ'mɪlɪtjuːd]",逼真 the quality of seeming to be true or real
S2,Q10,cordiality,[kɔr'dʒæləti],真诚 sincere affection and kindness
S2,Q10,irascibility,"[ɪ,ræsə'bɪləti]",易怒 becoming angry very easily : having a bad temper
S2,Q10,conviviality,"[kən,vɪvɪ'æləti]","欢乐，友好 of or relating to social events where people can eat, drink, and talk in a friendly"
,,,,way with others
S2,Q10,diffident,['dɪfɪdənt],缺乏自信的 lacking confidence : not feeling comfortable around people
S2,Q10,exasperation,"[ɪg,zæspə'reʃ(ə)n]",愤怒 the state of being very annoyed or upset
S3,Q1,stunning,['stʌnɪŋ],1. 震惊的 very surprising or shocking
,,,,2. 极好的 very beautiful or pleasing
S3,Q1,contemptuous,[kən'tɛmptʃuəs],心怀蔑视的 feeling or showing deep hatred or disapproval : feeling or showing contempt
S3,Q1,decry,[dɪ'kraɪ],"谴责，批评 to say publicly and forcefully that you regard something as bad, wrong,etc."
S3,Q1,boast,[bost],"吹嘘 If someone boasts about something that they have done or that they own, they talk"
,,,,"about it very proudly, in a way that other people may find irritating or offensive."
S3,Q1,downplay,"[,daʊn'ple]",不予重视 to make something seem smaller or less important
S3,Q2,subtle,['sʌtl],1.不易察觉的 hard to notice or see : not obvious
,,,,2. 难以理解的 difficult to understand or perceive : obscure
,,,,3. 狡猾的  clever and indirect : not showing your real purpose
,,,,4. 敏感的，有洞察力的 having or showing skill at recognizing and understanding things that
,,,,are not obvious
S3,Q2,explicable,[ɪk'splɪkəbl],能解释的 possible to explain
S3,Q2,inconsequential,[ɪn'kɑnsə'kwɛnʃəl],不重要的; 微不足道的; 无足轻重的 not important
S3,Q3,objective,[əb'dʒɛktɪv],客观的 based on facts rather than feelings or opinions : not influenced by feelings
S3,Q4,incinerator,[ɪn'sɪnəretɚ],垃圾焚化炉 An incinerator is a special large container for burning waste at a very high
,,,temperature.,
S3,Q4,loath,[loθ],不情愿的 unwilling to do something : reluctant
S3,Q5,emulate,['ɛmjulet],"（因为 admire）而竭力模仿（以便赶上/超过) strive to equal or excel by imitating ,especially"
,,,because you admire sb,
S3,Q5,discredit,[dɪs'krɛdɪt],1. 使…不可信 to refuse to accept as true or accurate : disbelieve
,,,2. 使…丢脸 to deprive of good repute : disgrace,
S3,Q5,authentic,[ɔ'θɛntɪk],真实的，真正的 real or genuine : not copied or false
S3,Q5,aesthetics,[ɛs'θɛtɪks],美学 Aesthetics is a branch of philosophy concerned with the study of the idea of beauty.
S3,Q6,ambivalence,[æmˈbɪvələns],矛盾 simultaneous and contradictory attitudes or feelings as attraction and repulsion
,,,"toward an object, person, or action",
S3,Q6,compliment,[ˈkɑmpləmənt],"赞美 an expression of esteem, respect, affection, or admiration; especially : an admiring"
,,,remark,
S3,Q6,censure,[ˈsɛnʃɚ],谴责，批评 to officially criticize someone or something strongly and publicly
S3,Q6,demanding,[dɪˈmændɪŋ],"费力的; 费时的 requiring much time, effort, or attention : exacting"
S3,Q6,sift from,[sɪft] [frəm],筛选 to go through something very carefully in order to find something useful or valuable
S3,Q6,overshadow,[ˌoʊvərˈʃædoʊ],"1. 给…蒙上阴影  to make something less enjoyable because of sadness, fear, or worry"
,,,,2. 超过 to exceed in importance : outweigh
,,,,3. 遮蔽 to cast a shadow over something
S3,Q6,manageable,[ˈmænɪdʒəbl],易控制的，易处理的 easy to control or deal with
S3,Q7,neophyte,[ˈniəfaɪt],新手 a person who has just started learning or doing something : novice
S3,Q7,novice,[ˈnɑvɪs],"新手 a person who has just started learning or doing something : beginner, tyro"
S3,Q7,pragmatist,[ˈpræɡmətɪst],实用主义者 a practical approach to problems and affairs
S3,Q7,zealot,[ˈzelət],"(尤指政治或宗教的)狂热分子; 极端分子 If you describe someone as a zealot, you think that"
,,,,"their views and actions are very extreme, especially in following a particular political or"
,,,,religious belief.
S3,Q8,maze,[mez],1. 迷宫 a confusing intricate network of passages or paths
,,,,2. 错综复杂的事物 something confusingly elaborate or complicated
S3,Q8,labyrinth,[ˈlæbərɪnθ],1. 迷宫  a place that has many confusing paths or passages
,,,,2. 错综复杂的事物 something that is extremely complicated or difficult to understand
S3,Q8,elicit,[ɪˈlɪsɪt],"引出，得出 to get a response, information, from someone"
S3,Q8,intricate,[ˈɪntrɪkət],1. 复杂精细的 having many complexly interrelated parts or elements : complicated
,,,,2. 复杂的  difficult to resolve or analyze
S3,Q8,extensive,[ɪkˈstɛnsɪv],广泛的，广阔的，大量的 large in size or amount : very full or complete
S3,Q8,convoluted,[ˈkɑːnvəluːtɪd],"晦涩的; 复杂的 very complicated and difficult to understand : involved, intricate"
S3,Q8,prevalent,[ˈprɛvələnt],"普遍的，广传的 accepted, done, or happening often or over a large area at a particular time :"
,,,,common or widespread
S3,Q9,validity,[vəˈlɪdəti],可信性 The validityof something such as a result or a piece of information is whether it can
,,,,be trusted or believed.
S3,Q9,novelty,[ˈnɑvlti],"新奇 the quality of being different, new, and unusual : novel"
S3,Q10,culinary,[ˈkʌlɪneri],烹调的 Culinary means concerned with cooking.
S3,Q10,unprecedented,[ʌnˈprɛsɪdɛntɪd],史无前例的 not done or experienced before
S3,Q10,unwarranted,[ʌnˈwɔːrəntɪd],"无根据的  If you describe something as unwarranted, you are critical of it because there is"
,,,,no need or reason for it.
S3,Q10,groundless,[ˈɡraʊndləs],没有根据的 not based on facts
S3,Q10,promising,[ˈprɑmɪsɪŋ],有望成功的; 前景很好的 likely to succeed or to be good : full of promise
S3,Q10,novel,[ˈnɑːvl],新颖的，新奇的 new and different from what has been known before
S4,Q1,detritus,[dɪˈtraɪtəs],残余物 Detritus is the small pieces of rubbish or waste material that remain after an event
,,,,has finished or when something has been used.
S4,Q1,supposition,[ˌsʌpəˈzɪʃən],假设; 猜想 an idea or theory that you believe is true even though you do not have proof :
,,,,hypothesis
S4,Q1,motley,[ˈmɑːtli],1. 杂色的 variegated in color
,,,,2. 混杂的 composed of diverse often incongruous elements
S4,Q2,anomalous,[əˈnɑmələs],"反常的  not expected or usual : irregular, unusual"
S4,Q2,haphazard,[ˈhæphæzəd],"杂乱无章的; 无计划的 having no plan, order, or direction : random"
S4,Q2,monolithic,[ˌmɒnəˈlɪθɪk],"1. 巨大的 huge, massive"
,,,,2. 整体的，单个的  formed from a single crystal
S4,Q2,mar,[mɑr],破坏 to spoil or damage it : spoil
S4,Q3,compassionate,[kəmˈpæʃənət],"有同情心的; 表示同情的 feeling  or showing concernfor someone who is sick, hurt, poor,"
,,,,etc. : sympathetic
S4,Q3,nepotistic,"[,nepə'tistik]",任人唯亲的 the unfair practice by a powerful person of giving jobs and other favors to
,,,,relatives
S4,Q3,grandstanding,[ˈɡrænstænd],哗众取宠  Grandstanding means behaving in a way that makes people pay attention to you
,,,,instead of thinking about more important matters.
S4,Q3,partisanship,[ˈpɑːtɪzænʃɪp],盲目支持/偏袒 Partisanship is support for a person or group without fair consideration of
,,,,the facts and circumstances: partiality
S4,Q3,vacillation,[ˌvæsəˈleɪʃn],"犹豫不决，踌躇 inability to take a stand : irresolution, indecision"
S4,Q4,futile,[ˈfjʊtaɪl],无用的，无效的 having no result or effect : pointless or useless
S4,Q4,contagious,[kənˈtedʒəs],1. 会传染的 having a sickness that can be passed to someone else by touching
,,,,2. 有感染力的 capable of being easily spread to others : causing other people to feel or act
,,,,in a similar way
S4,Q4,initially,[ɪˈnɪʃəli],最初地 occurring at the beginning of something ： incipient
S4,Q4,irk,[ɝk],使···生气; 使···烦恼 to bother or annoy someone
S4,Q4,immerse,[ɪˈmɝs],"1.使专心于  If you immerse yourself in something that you are doing, you become"
,,,,completely involved in it.
,,,,"2. 使浸没 If something is immersed in a liquid, someone puts it into the liquid so that it is"
,,,,completely covered.
S4,Q5,flippancy,[ˈflɪpənsi],轻率无礼   lacking proper respect or seriousness： levity，frivolity
S4,Q5,tendentious,[tenˈdenʃəs],有偏见的，有倾向的 marked by a tendency in favor of a particular point of view : biased
S4,Q5,discursion,[dɪs'kɜːʃən],漫谈离题  moving from topic to topic without order : rambling
S4,Q6,complicate,[ˈkɑmplɪket],使复杂化 to make something more difficult or less simple : involve
S4,Q6,comprehend,[ˌkɑmprɪˈhɛnd],理解 understand
S4,Q6,blemish,[ˈblemɪʃ],小缺点，小瑕疵 to spoil by a flaw
S4,Q6,allure,[əˈlʊr],引诱 to entice by charm or attraction
S4,Q6,valid,[ˈvælɪd],1. 有根据的 fair or reasonable
,,,,2. 合法的 accepted according to the law
S4,Q6,frank,[fræŋk],"坦白的，直率的 marked by free, forthright, and sincere expression"
S4,Q6,inveterate,[ɪnˈvɛtərət],1.根深蒂固的 firmly established long persistence
,,,,2. 习惯性的 confirmed in a habit : habitual
S4,Q6,exigency,[ˈɛksədʒənsi],紧急 a state of affairs that makes urgent demands
S4,Q7,paradigm,[ˈpærəˈdaɪm],"范例 example, pattern; especially : an outstandingly clear or typical example or archetype"
S4,Q7,hodgepodge,[ˈhɑdʒpɑdʒ],大杂烩 a mixture of different things
S4,Q7,patchwork,[ˈpætʃˈwɝk],大杂烩 something composed of miscellaneous or incongruous parts : hodgepodge
S4,Q7,fractiousness,['frækʃəsnis],"易怒，暴躁 full of anger and disagreement : irritable, quarrelsome"
S4,Q8,insightful,[ˈɪnsaɪtfəl],有深刻见解的 having or showing a very clear understanding of something
S4,Q8,affable,[ˈæfəbl],和蔼的，友善的 friendly and easy to talk to
S4,Q8,sagacious,[səˈɡeʃəs],睿智的 having or showing an ability to understand difficult ideas and situationsand to
,,,,make good decisions
S4,Q10,overarching,[ˌoʊvərˈɑːrtʃɪŋ],1. 包罗万象的 including or influencing every part of something
,,,,2. 首要的；支配一切的 dominating or embracing all else
S4,Q10,consistent,[kənˈsɪstənt],始终如一的 always acting or behaving in the same way
S4,Q10,intriguing,[ɪnˈtriːɡɪŋ],有趣的 extremely interesting
S4,Q10,heterogeneous,[ˈhɛtərəˈdʒinɪəs],由不同成分形成的 made up of parts that are different
S4,Q10,disparate,[ˈdɪspərət],迥然不同的 containing or made up of fundamentally different and often incongruous
,,,,elements
S4,Q10,mediocre,[ˌmidɪˈokɚ],"普通的，平凡的 of moderate or low quality, value, ability, or performance : ordinary"
S4,Q10,engaging,[ɪnˈɡedʒɪŋ],迷人的 very attractive or pleasing in a way that holds your attention
S5,Q1,controversial,[ˌkɑntrəˈvɝʃl],"有争议的 relating to or causing much discussion, disagreement, or argument"
S5,Q1,enigmatic,[ˌenɪɡˈmætɪk],神秘难解的 full of mystery and difficult to understand
S5,Q1,cherished,[ˈtʃerɪʃ],珍爱的 to feel or show great love for someone
S5,Q2,unconscious,[ʌnˈkɑnʃəs],未意识到的 not aware of something
S5,Q2,mutually,[ˈmjutʃuəli],相互地 shared between two or more people or groups
S5,Q2,reinforce,[ˌriɪnˈfɔrs],"加强 to strengthen by additional assitance, material, or support : make stronger or more"
,,,,pronounced
S5,Q2,inverse,[ˌɪnˈvɝs],"相反的 opposite in order, nature, or effect"
S5,Q2,unfeeling,[ʌnˈfiːlɪŋ],1. 无同情心的 lacking kindness or sympathy : hardhearted
,,,,2. 无感觉的 devoid of feeling : insensate
S5,Q2,disingenuous,[ˌdɪsɪnˈdʒenjuəs],不真诚的 dishonest and insincere : giving a false appearance of simple frankness :
,,,,calculating
S5,Q3,benign,[bɪˈnaɪn],"和善的 kind, gentle, and harmless"
S5,Q3,orthodox,[ˈɔrθədɑks],1. 正统的 accepted as true or correct by most people : supporting or believing what most
,,,,people think is true
,,,,2. 传统的 traditional
S5,Q3,embody,[ɪmˈbɑdi],1. 体现; 具体象征 to represent something in a clear and obvious way : to be a symbol or
,,,,example of something
,,,,2. 包含; 收录 to include something as apart or feature
S5,Q4,nothing if not,[ˈnʌθɪŋ] [ɪf] [nɑt],极其 ： very
S5,Q4,forbear,[fɔrˈbɛr],忍住 to choose not to do something that you could do : to avoid doing or saying
,,,,something
S5,Q4,chivalrous,[ˈʃɪvəlrəs],骑士精神的，绅士的 behaving in an honorable or polite way especially toward women
S5,Q4,impetuous,[ɪmˈpetʃuəs],冲动的 acting or done quickly and without thought : controlled by emotion rather than
,,,,thought
S5,Q4,boorish,[ˈbʊrɪʃ],"粗俗的; 粗鲁的 rough, uneducated, and rude"
S5,Q4,circumspect,[ˈsɜːrkəmspekt],谨慎小心的 careful to consider all circumstances and possible consequences : prudent
S5,Q4,spontaneous,[spɑnˈtenɪəs],(人)天真率直的（褒义);
,,,,and without a lot of thought or planning ： instinctive， involuntary
S5,Q5,disorienting,[dɪsˈɔːrient],困惑的 to make someone lost or confused
S5,Q5,humble,[ˈhʌmbl],1. 谦虚的 not proud or haughty : not arrogant or assertive
,,,,"2.(社会地位) 低下的 ranking low in a hierarchy or scale : insignificant, unpretentious"
,,,,3. not costly or luxurious
S5,Q5,empower,[em'paʊr],"1. 授权 If someone is empowered to do something,they have the authority or power to do"
,,,,it: authorize
,,,,"2. 使能够 To empower someone means to give them the means to achieve something,for"
,,,,"example,to become stronger or more successful:enable"
S5,Q5,discern,[dɪˈsɝn],识别 to recognize or identify as separate and distinct : discriminate
S5,Q5,intent,[ɪnˈtɛnt],目的，意图  the thing that you plan to do or acieve : an aim or purpose
S5,Q5,surrender,[səˈrɛndɚ],"投降; 屈服 to agree to stop fighting, hiding, resisting, etc., because you know that you will"
,,,,not win or succeed : yield
S5,Q5,glean,[ɡlin],慢慢地收集 to gather or collect something in a gradual way
S5,Q5,imitate,[ˈɪmɪtet],1. 模仿 to make or do something the same way as something else
,,,,"2. mimic, counterfeit"
S5,Q6,calamitous,[kəˈlæmɪtəs],灾难的 causing great harm or suffering
S5,Q6,exotic,[ɪɡˈzɑtɪk],"(常因来自遥远的他国而显得) 奇异的 very different, strange, or unusual"
,,,,2.外来的  introduced from another country : not native to the place where found
S5,Q6,vulnerable,[ˈvʌlnərəbl],"1. 易受伤害的 easily hurt or harmed physically mentally, or emotionally"
,,,,"2. 易受攻击 open to attack, harm, or damage : assailable"
S5,Q6,obligatory,[əˈblɪɡətɔri],强制的，义务的 required by a law or rule : mandatory
S5,Q7,diametrically,"[,daɪə'mɛtrɪkli]",截然地 completely opposed : being at opposite extremes
S5,Q7,adversarial,[ˌædvɚˈsɛrɪəl],对立的 involveing two people or sides who oppose each other
S5,Q7,antagonistic,[ænˌtæɡəˈnɪstɪk],敌对的 showing dislike or opposition : showing antagonism
S5,Q8,dichotomous,[daɪ'kɑtəməs],分成两部分的 dividing into two parts
S5,Q8,untenable,[ʌnˈtenəbl],(论据等）站不住脚的；not capable of being  defended against criticism or attack
S5,Q8,contradictory,[ˌkɑntrəˈdɪktəri],(事实、观点、陈述等) 相互矛盾的 involving or having information that disagrees with each
,,,,other information : containing a contradiction
S5,Q8,subversive,[sʌbˈvɝsɪv],颠覆性的 Something that is subversive is intended to weaken or destroy a political system
,,,,or government.
S5,Q8,adduce,[əˈduːs],"举出(理由，例子等) to cite (reasons, examples, etc) as evidence or proof  to support an"
,,,,argument
S5,Q8,myriad,[ˈmɪriəd],大量 a very large number of things
S5,Q9,minimal,[ˈmɪnɪməl],最小的 very small or slight in size or amount
S5,Q9,trifling,[ˈtraɪflɪŋ],微不足道的 small and unimportant
S5,Q9,marked,[mɑrkt],显著的 very noticeable
S5,Q9,conspicuous,[kənˈspɪkjʊəs],显眼的 very easy to see or notice
S5,Q9,intriguing,[ɪnˈtriːɡɪŋ],有趣的 extremely interesting
S5,Q9,deleterious,[ˌdeləˈtɪriəs],有害的 damaging or harmful
S5,Q10,crushing,[ˈkrʌʃɪŋ],
S5,Q10,hazardous,[ˈhæzɚdəs],危险的 involving risk or danger
S5,Q10,momentous,[moˈmɛntəs],"重要的 important , consequential"
S5,Q10,trivial,[ˈtrɪvɪəl],不重要的 not important
S5,Q10,precarious,[prɪˈkɛrərɪəs],
,,,,events and might fail in what you are doing at any moment.
S5,Q10,inconsequential,[ɪnˌkɑːnsɪˈkwenʃl],不重要的 not important
S6,Q1,discriminatory,[dɪˈskrɪmɪnətɔːri],
,,,,other people or groups of people
